07-Sep-2023 21:15:00 - num of feature = 2308
07-Sep-2023 21:15:51 - iter: 9/70 time: 0.564s fit: 0.062014
07-Sep-2023 21:15:52 - iter: 10/70 time: 0.558s fit: 0.060019
07-Sep-2023 21:15:52 - iter: 11/70 time: 0.593s fit: 0.05946
07-Sep-2023 21:15:53 - iter: 12/70 time: 0.569s fit: 0.051088
07-Sep-2023 21:15:54 - iter: 13/70 time: 0.576s fit: 0.051664
07-Sep-2023 21:15:54 - iter: 14/70 time: 0.567s fit: 0.052481
07-Sep-2023 21:15:55 - iter: 15/70 time: 0.557s fit: 0.051794
07-Sep-2023 21:15:55 - iter: 16/70 time: 0.56s fit: 0.0513
07-Sep-2023 21:15:56 - iter: 17/70 time: 0.562s fit: 0.044265
07-Sep-2023 21:15:56 - iter: 18/70 time: 0.567s fit: 0.044431
07-Sep-2023 21:15:57 - iter: 19/70 time: 0.568s fit: 0.041795
07-Sep-2023 21:15:57 - iter: 20/70 time: 0.564s fit: 0.039827
07-Sep-2023 21:15:58 - iter: 21/70 time: 0.554s fit: 0.037396
07-Sep-2023 21:15:59 - iter: 22/70 time: 0.581s fit: 0.03813
07-Sep-2023 21:15:59 - iter: 23/70 time: 0.564s fit: 0.038439
07-Sep-2023 21:16:00 - iter: 24/70 time: 0.566s fit: 0.036653
07-Sep-2023 21:16:00 - iter: 25/70 time: 0.559s fit: 0.037796
07-Sep-2023 21:16:01 - iter: 26/70 time: 0.572s fit: 0.03467
07-Sep-2023 21:16:01 - iter: 27/70 time: 0.564s fit: 0.035007
07-Sep-2023 21:16:02 - iter: 28/70 time: 0.566s fit: 0.031872
07-Sep-2023 21:16:03 - iter: 29/70 time: 0.566s fit: 0.035119
07-Sep-2023 21:16:03 - iter: 30/70 time: 0.563s fit: 0.032921
07-Sep-2023 21:16:04 - iter: 31/70 time: 0.582s fit: 0.032328
07-Sep-2023 21:16:04 - iter: 32/70 time: 0.567s fit: 0.031404
07-Sep-2023 21:16:05 - iter: 33/70 time: 0.555s fit: 0.030535
07-Sep-2023 21:16:05 - iter: 34/70 time: 0.566s fit: 0.031562
07-Sep-2023 21:16:06 - iter: 35/70 time: 0.567s fit: 0.030659
07-Sep-2023 21:16:07 - iter: 36/70 time: 0.563s fit: 0.031035
07-Sep-2023 21:16:07 - iter: 37/70 time: 0.565s fit: 0.030434
07-Sep-2023 21:16:08 - iter: 38/70 time: 0.56s fit: 0.029529
07-Sep-2023 21:16:08 - iter: 39/70 time: 0.562s fit: 0.029165
07-Sep-2023 21:16:09 - iter: 40/70 time: 0.578s fit: 0.027969
07-Sep-2023 21:16:09 - iter: 41/70 time: 0.566s fit: 0.028213
07-Sep-2023 21:16:10 - iter: 42/70 time: 0.568s fit: 0.026932
07-Sep-2023 21:16:11 - iter: 43/70 time: 0.572s fit: 0.025958
07-Sep-2023 21:16:11 - iter: 44/70 time: 0.562s fit: 0.026685
07-Sep-2023 21:16:12 - iter: 45/70 time: 0.554s fit: 0.027413
07-Sep-2023 21:16:12 - iter: 46/70 time: 0.567s fit: 0.027452
07-Sep-2023 21:16:13 - iter: 47/70 time: 0.571s fit: 0.024946
07-Sep-2023 21:16:13 - iter: 48/70 time: 0.568s fit: 0.026835
07-Sep-2023 21:16:14 - iter: 49/70 time: 0.574s fit: 0.025672
07-Sep-2023 21:16:14 - iter: 50/70 time: 0.555s fit: 0.026585
07-Sep-2023 21:16:15 - iter: 51/70 time: 0.571s fit: 0.024734
07-Sep-2023 21:16:16 - iter: 52/70 time: 0.567s fit: 0.02486
07-Sep-2023 21:16:16 - iter: 53/70 time: 0.561s fit: 0.025119
07-Sep-2023 21:16:17 - iter: 54/70 time: 0.574s fit: 0.024582
07-Sep-2023 21:16:17 - iter: 55/70 time: 0.555s fit: 0.025634
07-Sep-2023 21:16:18 - iter: 56/70 time: 0.559s fit: 0.025914
07-Sep-2023 21:16:18 - iter: 57/70 time: 0.557s fit: 0.027679
07-Sep-2023 21:16:19 - iter: 58/70 time: 0.573s fit: 0.026336
07-Sep-2023 21:16:20 - iter: 59/70 time: 0.565s fit: 0.026709
07-Sep-2023 21:16:20 - iter: 60/70 time: 0.551s fit: 0.026362
07-Sep-2023 21:16:21 - iter: 61/70 time: 0.564s fit: 0.025936
07-Sep-2023 21:16:21 - iter: 62/70 time: 0.563s fit: 0.024667
07-Sep-2023 21:16:22 - iter: 63/70 time: 0.566s fit: 0.02479
07-Sep-2023 21:16:22 - iter: 64/70 time: 0.566s fit: 0.025009
07-Sep-2023 21:16:23 - iter: 65/70 time: 0.56s fit: 0.026557
07-Sep-2023 21:16:24 - iter: 66/70 time: 0.561s fit: 0.024088
07-Sep-2023 21:16:24 - iter: 67/70 time: 0.576s fit: 0.026052
07-Sep-2023 21:16:25 - iter: 68/70 time: 0.565s fit: 0.026314
07-Sep-2023 21:16:25 - iter: 69/70 time: 0.557s fit: 0.026212
07-Sep-2023 21:16:26 - iter: 70/70 time: 0.548s fit: 0.025116
07-Sep-2023 21:16:27 - round1/1 fold2/10 - time:42.311s train_acc:1 test_acc:1 size:52
07-Sep-2023 21:16:29 - iter: 1/70 time: 0.611s fit: 0.08929
07-Sep-2023 21:16:29 - iter: 2/70 time: 0.592s fit: 0.084652
07-Sep-2023 21:16:30 - iter: 3/70 time: 0.581s fit: 0.079089
07-Sep-2023 21:16:30 - iter: 4/70 time: 0.585s fit: 0.070242
07-Sep-2023 21:16:31 - iter: 5/70 time: 0.569s fit: 0.064865
07-Sep-2023 21:16:32 - iter: 6/70 time: 0.573s fit: 0.062732
07-Sep-2023 21:16:32 - iter: 7/70 time: 0.561s fit: 0.059882
07-Sep-2023 21:16:33 - iter: 8/70 time: 0.564s fit: 0.056665
07-Sep-2023 21:16:33 - iter: 9/70 time: 0.566s fit: 0.051946
07-Sep-2023 21:16:34 - iter: 10/70 time: 0.575s fit: 0.043288
07-Sep-2023 21:16:34 - iter: 11/70 time: 0.567s fit: 0.044189
07-Sep-2023 21:16:35 - iter: 12/70 time: 0.564s fit: 0.042025
07-Sep-2023 21:16:36 - iter: 13/70 time: 0.563s fit: 0.041661
07-Sep-2023 21:16:36 - iter: 14/70 time: 0.564s fit: 0.042115
07-Sep-2023 21:16:37 - iter: 15/70 time: 0.564s fit: 0.037994
07-Sep-2023 21:16:37 - iter: 16/70 time: 0.562s fit: 0.035664
07-Sep-2023 21:16:38 - iter: 17/70 time: 0.556s fit: 0.033652
07-Sep-2023 21:16:38 - iter: 18/70 time: 0.55s fit: 0.031472
07-Sep-2023 21:16:39 - iter: 19/70 time: 0.569s fit: 0.028508
07-Sep-2023 21:16:40 - iter: 20/70 time: 0.555s fit: 0.031703
07-Sep-2023 21:16:40 - iter: 21/70 time: 0.561s fit: 0.029286
07-Sep-2023 21:16:41 - iter: 22/70 time: 0.557s fit: 0.028686
07-Sep-2023 21:16:41 - iter: 23/70 time: 0.556s fit: 0.029878
07-Sep-2023 21:16:42 - iter: 24/70 time: 0.554s fit: 0.028218
07-Sep-2023 21:16:42 - iter: 25/70 time: 0.561s fit: 0.026569
07-Sep-2023 21:16:43 - iter: 26/70 time: 0.56s fit: 0.027369
07-Sep-2023 21:16:43 - iter: 27/70 time: 0.555s fit: 0.025896
07-Sep-2023 21:16:44 - iter: 28/70 time: 0.574s fit: 0.027166
07-Sep-2023 21:16:45 - iter: 29/70 time: 0.554s fit: 0.028015
07-Sep-2023 21:16:45 - iter: 30/70 time: 0.565s fit: 0.024676
07-Sep-2023 21:16:46 - iter: 31/70 time: 0.559s fit: 0.02314
07-Sep-2023 21:16:46 - iter: 32/70 time: 0.551s fit: 0.025382
